income,age,credit,default,years_in_business,num_staff,monthly_sales,monthly_expenses,num_orders,order_history
40367.438451781134,35.61505703264074,758.5384939366047,0,13,1,48620.917152988695,43175.18861799246,53,32.40839687588844
68489.10282428407,33.04503710836887,650.4557874807924,0,4,16,67658.8423580619,48503.87237286227,11,49.90152242441572
72792.49397064991,41.32444870726421,731.315694640919,0,1,10,46028.10587137991,44083.77995213446,29,47.710099937786254
54701.844702182665,31.357216501990614,678.6327248194015,0,10,14,43726.27785969098,48875.018942383416,97,28.526135645139668
45492.16945577533,37.97445523892135,676.5488634886735,0,17,10,55736.36704830965,37446.129804851735,53,63.657225642782
45646.87532720049,32.566488213727474,688.2118662031985,0,10,15,56819.58465795118,44586.73973758824,77,42.19316980610279
65324.726272675514,35.244828177924816,707.5200522375992,0,2,9,52696.67902484297,53822.266041612376,65,55.64894211291151
50823.72774478889,36.00328676686565,708.6891307433842,0,6,6,69749.75372978667,40993.47559851,80,40.885640778795974
49863.08038363178,33.76118289921622,609.9864785968695,0,6,9,42193.60261631714,28221.78034680916,97,46.96545678658762
47153.503242339975,39.589789129201996,727.7738613293706,0,16,2,41813.39795109532,41518.66934331325,64,53.65171333627549
36689.284140852185,34.03289318920676,675.5440021833201,0,9,19,48603.228885870645,43935.39029139033,16,43.2600038343896
68700.64072342149,36.736384621112194,734.1824059569961,0,3,16,51698.30081525801,40499.88876889711,82,35.677918380483604
60438.510558074995,24.609132710605508,728.6680954253598,0,19,13,48971.64930807043,41277.06865028599,98,44.478636235244394
67499.43601491756,47.07178376789723,749.2640903484544,1,17,16,70569.35426895648,25839.647844636667,73,32.1040898537318
50489.24849365293,32.244079260325165,686.3365515825985,0,3,14,52881.45573566485,39243.46186133997,44,33.32001880344774
39971.74927321308,31.613108182449864,768.96176875222,0,14,3,57032.134152442006,35347.96132111356,70,44.17506506688686
56989.6251530474,41.00981337127766,685.6715945451465,1,13,14,57427.708988404134,40703.0902598046,50,51.07916958195952
52241.57195874425,31.350022369753887,634.0855005313072,0,14,1,33642.12507957044,37037.471089168175,14,49.34139131019163
